C_Country_codes,Postal_codes,C_Location_name,C_Area,C_Lat,C_Long,C_V12,Match_location
PK,67451,68 Mile Mori,Hyderabad,26.4656,68.5325, ,68 MILE MORI
PK,69001,78 Miles Moree,Hyderabad,28.4436,69.3458, ,78 MILES MOREE
PK,65301,A.K. Sarohi,Hyderabad,27.5208,68.8479, ,A.K. SAROHI
PK,62211,A.P.M. Ganj,Souhern Punajb Mulan,29.8777,72.9872, ,A.P.M. GANJ
PK,12161,Aakhorban,Federal Capial &AJK,28.4833,70.2236, ,AAKHORBAN
PK,77371,Abad Bhutto,Hyderabad,28.3177,68.7666, ,ABAD BHUTTO
PK,64311,Abad Pur,Souhern Punajb Mulan,28.5921,70.2324, ,ABAD PUR
PK,24420,Abazai (Nd),NWFP Peshawar,34.1158,71.6922, ,ABAZAI (ND)
PK,28440,Abba Khel,NWFP Peshawar,32.5661,70.8289,4,ABBA KHEL
PK,42201,Abba Khel,Norhern Punajb Rawalpindi,32.488,71.8476, ,ABBA KHEL
PK,47541,Abban Chak,Norhern Punajb Rawalpindi,32.8161,73.6469, ,ABBAN CHAK
PK,77190,Abbas Colony T.So.,Hyderabad,27.782,68.6666, ,ABBAS COLONY T.SO.
PK,63071,Abbas Nagar,Souhern Punajb Mulan,27.8264,68.7625, ,ABBAS NAGAR
PK,12200,Abbas Pur,Federal Capial &AJK,33.8778,74.0333, ,ABBAS PUR
PK,38001,Abbas Pur,Lahore,32.0693,72.5347, ,ABBAS PUR
PK,28411,Abbasa,NWFP Peshawar,32.7914,71.0558,4,ABBASA
PK,22401,Abbasian,Federal Capial &AJK,33.8408,72.2114, ,ABBASIAN
PK,30141,Abbasian Wala,Norhern Punajb Rawalpindi,32.5394,71.3524, ,ABBASIAN WALA
PK,22010,Abbottabad Gpo,NWFP Peshawar,33.346,72.2607, ,ABBOTTABAD GPO
PK,22030,Abbottabad Public School,NWFP Peshawar,32.7885,71.9418, ,ABBOTTABAD PUBLIC SCHOOL
PK,40571,Abdal,Norhern Punajb Rawalpindi,31.9344,71.4764, ,ABDAL
PK,52401,Abdal,Lahore,32.2167,74.2667,4,ABDAL
PK,78051,Abdoo,Hyderabad,27.8333,68.7833,4,ABDOO
PK,79161,Abdul Gafoor,Hyderabad,28.4,69.2, ,ABDUL GAFOOR
PK,58180,Abdul Hakim,Souhern Punajb Mulan,30.55,72.1167,4,ABDUL HAKIM
PK,67391,Abdul Hakim Manghrio,Hyderabad,32.1417,72.6958, ,ABDUL HAKIM MANGHRIO
PK,28421,Abdul Khel,NWFP Peshawar,32.3994,70.9133,4,ABDUL KHEL
PK,70221,Abdul Rahim Katiar,Hyderabad,25.8194,68.4657, ,ABDUL RAHIM KATIAR
PK,69321,Abdullah Kahn Jarwar,Hyderabad,25.0264,69.0986, ,ABDULLAH KAHN JARWAR
PK,69161,Abdullah Kapri,Hyderabad,25.2583,69.4917,4,ABDULLAH KAPRI
PK,39541,Abdullah Pur,Lahore,31.8839,72.5956, ,ABDULLAH PUR
PK,69001,Abdullahabad,Hyderabad,34.2078,71.7717,4,ABDULLAHABAD
PK,25001,Abdur Rahima,NWFP Peshawar,34.0453,71.6289,4,ABDUR RAHIMA
PK,51261,Abidi Meher Hamim Din,Lahore,32.8306,74.2514, ,ABIDI MEHER HAMIM DIN
PK,19241,Aboha,NWFP Peshawar,34.674,72.4826, ,ABOHA
PK,73041,Abral,Hyderabad,24.9333,68.2333, ,ABRAL
PK,77211,Abri,Hyderabad,27.5667,68.0333,4,ABRI
PK,82601,Absar,Balochisan,26.048,63.1397, ,ABSAR
PK,64201,Abuzahbi Colony,Souhern Punajb Mulan,28.5167,70.3, ,ABUZAHBI COLONY
PK,25121,Acheeni Payan,NWFP Peshawar,34.0358,71.4889, ,ACHEENI PAYAN
PK,50991,Achh,Norhern Punajb Rawalpindi,32.8667,74.1333,4,ACHH
PK,51041,Ada,Lahore,31.2,72.5333,4,ADA
PK,61201,Ada Hari Chand,Lahore,29.8003,72.1758, ,ADA HARI CHAND
PK,35201,Ada Hospital Mochiwala,Lahore,31.6958,72.7681, ,ADA HOSPITAL MOCHIWALA
PK,35201,Ada Shabbirabad,Lahore,31.6958,72.7681, ,ADA SHABBIRABAD
PK,52201,Adal Garh,Lahore,32.3278,74.1992, ,ADAL GARH
PK,51311,Adalat Garh,Lahore,32.4228,74.2898, ,ADALAT GARH
PK,43441,Adalzai,Norhern Punajb Rawalpindi,33.955,72.4672,4,ADALZAI
PK,18801,Adam Dheri,NWFP Peshawar,34.7331,72.0706, ,ADAM DHERI
PK,51041,Adam Draz,Lahore,27.6472,69.9938, ,ADAM DRAZ
PK,39101,Adam Pur,Lahore,34.1756,71.6625, ,ADAM PUR
PK,80501,Adam Pur,Balochisan,27.999,68.6397, ,ADAM PUR
PK,64201,Adam Sahaba,Souhern Punajb Mulan,28.5167,70.3, ,ADAM SAHABA
PK,65200,Adam Shah (Nd),Hyderabad,27.65,68.8333, ,ADAM SHAH (ND)
PK,59321,Adam Wahan,Souhern Punajb Mulan,29.9538,71.7587, ,ADAM WAHAN
PK,24041,Adam Zai,NWFP Peshawar,32.7689,70.8075,4,ADAM ZAI
PK,28101,Adami Nawaz Shah,NWFP Peshawar,32.8177,70.6877, ,ADAMI NAWAZ SHAH
PK,24170,Adamjee Paper Board Mills,NWFP Peshawar,33.8828,71.5928, ,ADAMJEE PAPER BOARD MILLS
PK,51021,Adamke Nagre,Lahore,30.8213,72.1431, ,ADAMKE NAGRE
PK,51031,Adamki,Lahore,32.3944,74.341, ,ADAMKI
PK,59321,Adda Aermit(Mouza Mumrah),Souhern Punajb Mulan,29.9538,71.7587, ,ADDA AERMIT(MOUZA MUMRAH)
PK,30101,Adda Barkat Wala,Norhern Punajb Rawalpindi,29.9201,69.6063, ,ADDA BARKAT WALA
PK,61121,Adda Ghulam Hussain,Lahore,30.3571,71.9948, ,ADDA GHULAM HUSSAIN
PK,28300,Adda Mir Abbas,NWFP Peshawar,32.5362,70.8574, ,ADDA MIR ABBAS
PK,57111,Adda Noorpur,Lahore,30.4167,73.3333, ,ADDA NOORPUR
PK,61101,Adda Pakhimore,Lahore,30.5764,72.294, ,ADDA PAKHIMORE
PK,62351,Adda Pul Murad,Souhern Punajb Mulan,29.901,72.8653, ,ADDA PUL MURAD
PK,25001,Ade Zai,NWFP Peshawar,33.885,71.875, ,ADE ZAI
PK,69241,Adejo Tar,Hyderabad,24.8167,70.6167, ,ADEJO TAR
PK,50401,Adhi,Norhern Punajb Rawalpindi,33.1333,73.1333,4,ADHI
PK,41260,Adhi Kot,Norhern Punajb Rawalpindi,32.1036,71.8067,4,ADHI KOT
PK,41251,Adhi Sargal,Norhern Punajb Rawalpindi,32.1942,71.8269,4,ADHI SARGAL
PK,59251,Adhowali,Souhern Punajb Mulan,30.5917,72.3764, ,ADHOWALI
PK,50701,Adhowalkalan,Norhern Punajb Rawalpindi,31.8758,73.1878, ,ADHOWALKALAN
PK,40471,Adhrema,Norhern Punajb Rawalpindi,33.7978,72.7283, ,ADHREMA
PK,77021,Adi Jagri,Hyderabad,27.075,68.1194, ,ADI JAGRI
PK,39651,Adil Garh,Lahore,31.9589,72.9953, ,ADIL GARH
PK,65200,Adil Pur,Hyderabad,27.65,68.8333, ,ADIL PUR
PK,23201,Adina,NWFP Peshawar,34.2181,72.2703,4,ADINA
PK,24851,Adizai,NWFP Peshawar,34.1256,72.1129, ,ADIZAI
PK,35361,Adlana,Lahore,30.1167,73.4333,4,ADLANA
PK,52451,Adorai,Lahore,32.0244,74.2516, ,ADORAI
PK,50730,Adowal,Norhern Punajb Rawalpindi,32.6167,73.1833,4,ADOWAL
PK,47981,Adra Kalan,Norhern Punajb Rawalpindi,33.0314,73.0522, ,ADRA KALAN
PK,49304,Adrana,Norhern Punajb Rawalpindi,33.3036,72.8889,4,ADRANA
PK,47311,Adyala,Norhern Punajb Rawalpindi,31.9208,73.0167, ,ADYALA
PK,25180,Afghan Colony,NWFP Peshawar,32.9778,70.5139,4,AFGHAN COLONY
PK,10360,Afzal Pur,Federal Capial &AJK,33.4574,73.2244, ,AFZAL PUR
PK,23201,Afzalabad,NWFP Peshawar,34.2819,71.9933,4,AFZALABAD
PK,23340,Agai,NWFP Peshawar,29.5896,70.8583, ,AGAI
PK,77151,Agani,Hyderabad,27.6167,68.3,4,AGANI
PK,59221,Agar Khani,Souhern Punajb Mulan,30.1569,71.5701, ,AGAR KHANI
PK,65200,Agha Qadirdad,Hyderabad,27.65,68.8333, ,AGHA QADIRDAD
PK,76311,Aghamani,Hyderabad,27.0875,67.9264,4,AGHAMANI
PK,11101,Aghar,Federal Capial &AJK,33.4889,73.9,4,AGHAR
PK,84801,Aghbarg,Balochisan,30.45,69.0167,4,AGHBARG
PK,76331,Aghmani,Hyderabad,28.2245,69.4898, ,AGHMANI
PK,66074,Agra,Hyderabad,30.4833,72.6833,4,AGRA
PK,24421,Agra Miana,NWFP Peshawar,34.1158,71.6922,4,AGRA MIANA
PK,24421,Agra Payan,NWFP Peshawar,34.1158,71.6922, ,AGRA PAYAN
PK,67061,Agra Village,Hyderabad,27.15,68.1667, ,AGRA VILLAGE
PK,66201,Agri Farm,Hyderabad,27.7074,68.5917, ,AGRI FARM
PK,56141,Agricultural Farm,Lahore,30.831,73.696, ,AGRICULTURAL FARM
PK,57001,Agricultural Farms,Lahore,30.5167,71.7889, ,AGRICULTURAL FARMS
PK,29120,Agricultural Research Station,NWFP Peshawar,30.9949,72.1094, ,AGRICULTURAL RESEARCH STATION
PK,64101,Agricultural Research Station 4-P,Souhern Punajb Mulan,28.1244,70.2394, ,AGRICULTURAL RESEARCH STATION 4-P
PK,70101,Agro Rahu,Hyderabad,25.9917,68.425,4,AGRO RAHU
PK,50431,Agroya,Norhern Punajb Rawalpindi,32.429,73.5702, ,AGROYA
PK,21091,Ahal,NWFP Peshawar,34.3639,73.0458,4,AHAL
PK,39051,Ahdan,Lahore,31.8335,74.4621, ,AHDAN
PK,47750,Ahdi,Norhern Punajb Rawalpindi,33.0914,73.0223, ,AHDI
PK,19131,Ahengro Dheri,NWFP Peshawar,34.7397,72.4256, ,AHENGRO DHERI
PK,10021,Ahla,Norhern Punajb Rawalpindi,27.8431,67.6604, ,AHLA
PK,51541,Ahlo Lol,Lahore,32.2583,74.8167, ,AHLO LOL
PK,15701,Ahmad Abad,Federal Capial &AJK,34.3563,73.2067, ,AHMAD ABAD
PK,35401,Ahmad Abad,Lahore,31.7014,72.9958, ,AHMAD ABAD
PK,49031,Ahmad Abad,Norhern Punajb Rawalpindi,32.55,72.8333, ,AHMAD ABAD
PK,79181,Ahmad Ali,Hyderabad,24.0736,67.4722,4,AHMAD ALI
PK,72011,Ahmad Dars,Hyderabad,25.0236,68.7611,4,AHMAD DARS
PK,73241,Ahmad Khan Blouch,Hyderabad,24.3,67.6, ,AHMAD KHAN BLOUCH
PK,76221,Ahmad Khan Dawach,Hyderabad,26.8833,67.6833, ,AHMAD KHAN DAWACH
PK,42201,Ahmad Khan Wala,Norhern Punajb Rawalpindi,32.488,71.8476, ,AHMAD KHAN WALA
PK,87301,Ahmad Khan Zai,Balochisan,30.0156,67.016, ,AHMAD KHAN ZAI
PK,52070,Ahmad Nagar,Lahore,32.25,73.975, ,AHMAD NAGAR
PK,40101,Ahmad Pur,Norhern Punajb Rawalpindi,32.1687,72.6814, ,AHMAD PUR
PK,63350,Ahmad Pur East,Souhern Punajb Mulan,29.15,71.225, ,AHMAD PUR EAST
PK,63351,Ahmad Pur East City,Souhern Punajb Mulan,29.15,71.225, ,AHMAD PUR EAST CITY
PK,35090,Ahmad Pur Sial,Lahore,30.8563,71.9854, ,AHMAD PUR SIAL
PK,66151,Ahmadabad,Hyderabad,28.1347,67.8222,4,AHMADABAD
PK,41301,Ahmadal,Norhern Punajb Rawalpindi,32.6956,71.9742, ,AHMADAL
PK,47045,Ahmadnagar,Norhern Punajb Rawalpindi,30.3,71.9,4,AHMADNAGAR
PK,96001,Ahmadoon,Balochisan,29.7833,67.9833, ,AHMADOON
PK,66031,Ahmadpur,Hyderabad,27.55,68.55,4,AHMADPUR
PK,62301,Ahmadpur Chishti,Souhern Punajb Mulan,29.9592,73.1867, ,AHMADPUR CHISHTI
PK,64380,Ahmadpur Lama,Souhern Punajb Mulan,28.3701,69.8937, ,AHMADPUR LAMA
PK,51311,Ahmalpur,Lahore,32.4228,74.2898, ,AHMALPUR
PK,43381,Ahmdal,Norhern Punajb Rawalpindi,33.2917,72.4892,4,AHMDAL
PK,80301,Ahmed Abad,Balochisan,28.1833,68.0667, ,AHMED ABAD
PK,88301,Ahmed Abad,Balochisan,29.0333,66.6833, ,AHMED ABAD
